,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,approach,avg wins,std wins,avg score,std score,avg timesteps,std timesteps
,,,,,,HR,0.532,0.0271293199,173.695,69.3937827547,703.127,19.0010152623
,,,,,,MCTS,0.422,0.0331058907,222.922,63.3010234988,1033.014,41.2038661293
,,,,,,EA,0.479,0.0211896201,168.817,42.1994078276,827.956,42.614291781
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,approach,avg wins,std wins,avg score,std score,avg timesteps,std timesteps
,,,,,,HR,0.532,0.027,173.7,69.39,703.13,19
,,,,,,MCTS,0.422,0.033,222.92,63.3,1033.01,41.2
,,,,,,EA,0.479,0.021,168.82,42.2,827.96,42.61
