id,Safety Iterations,Maximal Path Length,Size of the Population,Fittest Population,Dynamic Path Length,Minimal Generation,Average Wins,Std of Wins
1,2,6,14,5,0,4,0.459,0.023
2,4,6,10,4,0,4,0.458,0.024
3,5,4,14,5,0,4,0.466,0.028
4,5,6,10,5,0,4,0.459,0.032
5,5,6,13,4,1,5,0.451,0.041
6,5,6,14,3,0,4,0.471,0.018
7,5,6,14,5,0,4,0.461,0.025
8,5,6,14,5,1,2,0.479,0.021
9,5,6,14,5,1,4,0.463,0.027
10,5,6,14,5,1,6,0.449,0.041
11,5,6,14,7,0,4,0.474,0.028
12,5,6,18,5,0,4,0.462,0.035
13,5,8,14,5,0,4,0.453,0.029
14,8,6,14,5,0,4,0.477,0.022
